SER_NUM	FROM_FIRST_TIME	BEFORE_US	TOT_MATCHED	BEFORE_US_PROMILE	MATCHED_FLG
6	220	42	3204	13.1	0
7	240	37	3204	11.5	0
8	290	22	3244	6.8	0
1	0	25	3018	8.3	0
2	80	25	3190	7.8	0
3	100	47	3190	14.7	0
4	120	47	3200	14.7	0
5	160	30	3200	9.4	0
6	210	40	3220	12.4	0
7	250	25	3220	7.8	0
1	0	21	5004	4.2	0
2	20	14	5017	2.8	0
3	130	14	5087	2.8	0
4	140	15	5087	2.9	0
5	160	15	5087	2.9	0
6	170	17	5087	3.3	1
1	0	42	35320	1.2	0
2	63	42	35329	1.2	0
3	86	22	35435	0.6	0
4	158	30	35464	0.8	0
5	171	24	35553	0.7	0
6	264	30	35591	0.8	0
7	347	42	35617	1.2	0
1	0	42	8731	4.8	0
2	23	30	8735	3.4	1
3	124	23	8799	2.6	0
4	199	28	8939	3.1	0
5	222	47	8939	5.3	0
1	0	30	40874	0.7	0
2	10	22	40876	0.5	0
3	20	39	40876	1.0	1
4	110	30	40880	0.7	0
5	160	22	40908	0.5	0
6	180	38	40908	0.9	0
7	190	37	40908	0.9	0
8	210	21	40916	0.5	0
1	0	42	6884	6.1	0
2	20	36	6884	5.2	0
3	60	42	6884	6.1	0
4	120	29	7300	4.0	0
5	150	29	7300	4.0	0
6	170	42	7300	5.8	0
7	180	15	7304	2.1	0
8	230	47	7344	6.4	0
9	280	47	7348	6.4	0
1	0	42	7678	5.5	0
2	50	17	7678	2.2	0
3	121	42	7820	5.4	1
4	221	42	8047	5.2	0
5	292	35	8087	4.3	0
6	312	35	8087	4.3	0
7	322	42	8096	5.2	0
8	402	41	8101	5.1	0
1	0	23	26528	0.9	1
2	70	19	28066	0.7	0
3	200	12	28587	0.4	1
4	270	40	28661	1.4	0
5	280	31	28661	1.1	0
6	310	46	28671	1.6	0
7	320	33	28691	1.2	0
8	350	22	28701	0.8	0
1	0	42	14382	2.9	0
2	50	30	14548	2.1	0
3	211	42	14945	2.8	1
4	312	46	15094	3.0	0
1	0	30	3097	9.7	0
2	10	42	3097	13.6	0
1	0	42	7095	5.9	0
2	121	42	7105	5.9	0
3	171	15	7106	2.1	0
4	181	15	7106	2.1	0
5	232	15	7110	2.1	1
1	0	16	112858	0.1	1
1	0	22	26215	0.8	1
2	151	22	26936	0.8	1
3	201	21	27317	0.8	0
1	0	28	8043	3.5	0
2	100	39	8251	4.7	0
3	151	43	8361	5.1	0
4	181	43	8521	5.0	0
5	211	39	8521	4.6	0
6	231	39	8609	4.5	0
1	0	25	4522	5.5	0
2	40	42	4522	9.3	0
3	70	25	4522	5.5	0
4	80	25	4522	5.5	0
5	90	42	4522	9.3	0
6	141	42	4546	9.2	0
1	0	28	36010	0.8	0
2	111	26	42197	0.6	1
3	120	26	42221	0.6	1
4	171	19	42637	0.4	0
5	191	21	42682	0.5	0
6	221	35	42829	0.8	0
1	0	21	29908	0.7	0
2	33	29	30210	1.0	0
3	55	26	30292	0.9	0
4	78	42	30311	1.4	0
5	91	37	30315	1.2	0
6	203	42	30490	1.4	0
7	215	9	30511	0.3	0
8	308	23	30631	0.8	0
9	321	20	30631	0.7	1
1	0	41	7045	5.8	0
2	40	48	7045	6.8	0
3	60	39	7095	5.5	0
1	0	42	20121	2.1	0
2	50	30	20121	1.5	0
3	201	26	20386	1.3	0
4	261	42	20497	2.0	0
5	301	38	20607	1.8	0
6	332	28	20613	1.4	1
7	382	36	20824	1.7	0
1	0	30	8505	3.5	0
2	20	43	8556	5.0	1
3	60	42	9606	4.4	1
4	231	34	11402	3.0	0
1	0	43	10749	4.0	0
2	10	15	10749	1.4	0
3	50	49	10764	4.6	0
4	121	49	10783	4.5	0
5	131	48	10783	4.5	0
1	0	45	10021	4.5	1
2	10	42	10183	4.1	1
3	170	15	10400	1.4	1
4	261	45	10454	4.3	0
5	281	48	10454	4.6	0
6	321	40	10461	3.8	0
7	331	40	10461	3.8	0
1	0	42	6319	6.6	1
2	20	50	6407	7.8	1
3	232	22	7531	2.9	0
4	253	47	7531	6.2	0
5	273	47	7531	6.2	0
6	303	28	7531	3.7	0
1	0	15	12557	1.2	0
2	10	27	12557	2.2	0
3	50	42	12557	3.3	0
4	60	25	12557	2.0	0
5	91	25	12560	2.0	1
1	0	21	3135	6.7	0
2	20	21	3135	6.7	0
3	51	21	3135	6.7	1
4	182	27	3193	8.5	0
1	0	42	6586	6.4	0
2	40	19	6586	2.9	0
3	161	42	6708	6.3	0
4	173	15	6715	2.2	0
5	213	42	6715	6.3	0
6	223	21	6715	3.1	0
7	273	42	6715	6.3	0
8	283	25	6715	3.7	0
1	0	30	4633	6.5	0
1	0	41	7105	5.8	0
2	111	41	7135	5.7	0
3	211	15	7151	2.1	0
4	221	49	7191	6.8	0
5	252	14	7191	1.9	0
6	353	35	7226	4.8	0
7	383	41	7226	5.7	0
8	494	20	7226	2.8	0
1	0	22	21273	1.0	0
2	10	27	21273	1.3	0
3	20	34	21274	1.6	0
4	81	40	21317	1.9	0
5	131	47	21336	2.2	0
6	151	15	21340	0.7	0
7	201	18	21695	0.8	0
8	211	41	21701	1.9	0
9	231	40	21701	1.8	0
10	241	41	21701	1.9	0
11	251	15	21701	0.7	0
12	261	41	21701	1.9	0
13	281	40	21715	1.8	0
14	291	41	21715	1.9	0
1	0	37	10138	3.6	0
2	60	41	10143	4.0	0
3	80	43	10143	4.2	0
4	111	43	10143	4.2	0
5	171	29	10209	2.8	0
6	181	43	10216	4.2	0
7	251	46	10341	4.4	0
8	291	42	10388	4.0	0
9	341	43	10388	4.1	0
10	351	48	10388	4.6	0
1	0	41	5915	6.9	0
1	0	41	3883	10.6	0
2	30	18	3883	4.6	0
3	50	41	3883	10.6	0
4	130	16	3883	4.1	0
1	0	45	26917	1.7	0
2	20	17	26928	0.6	0
3	91	25	27019	0.9	0
4	101	43	27069	1.6	0
